Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status,Status_encoded,SuccessRate_semester1,SuccessRate_semester2,Grade_improvement,Total_credit_enrolled,Total_credit_approval,is_financially_secure,economic_stress
1,1,9500,1,136.0,19,38,9,9,119.3,1,0,1,0,1,18,8,8,7,13.214285714285714,8,8,7,13.214285714285714,12.7,3.7,-1.7,Graduate,1,0.875,0.875,0.0,16,14,0,-6.29
1,2,9853,1,133.0,19,37,4,9,130.2,1,0,1,0,0,19,6,6,0,0.0,6,0,0,0.0,12.7,3.7,-1.7,Dropout,0,0.0,0.0,0.0,12,0,0,-6.29
53,1,9254,1,110.0,1,1,4,7,111.8,1,0,1,0,1,21,6,7,6,10.571428571428571,6,8,5,11.0,8.9,1.4,3.51,Graduate,1,1.0,0.8333333333333334,0.4285714285714288,12,11,0,4.914
1,1,9085,1,149.0,38,37,5,5,137.1,1,0,1,0,1,18,5,7,4,13.25,5,5,5,12.0,10.8,1.4,1.74,Graduate,1,0.8,1.0,-1.25,10,9,0,2.436
1,1,9773,1,127.0,19,37,9,3,120.7,1,0,1,0,0,20,6,6,5,13.2,6,7,0,0.0,15.5,2.8,-4.06,Dropout,0,0.8333333333333334,0.0,-13.2,12,5,0,-11.367999999999999
18,1,9238,1,137.0,19,38,5,8,137.4,1,0,1,0,0,18,6,10,1,12.0,6,14,2,11.0,10.8,1.4,1.74,Enrolled,1,0.16666666666666666,0.3333333333333333,-1.0,12,3,0,2.436
17,2,9500,1,135.0,19,1,5,4,127.3,1,0,1,0,0,18,7,8,7,13.30625,8,8,8,14.545,15.5,2.8,-4.06,Graduate,1,1.0,1.0,1.2387499999999996,15,15,0,-11.367999999999999
1,1,9130,1,137.0,3,19,3,5,136.3,1,0,1,0,0,20,5,8,4,12.5,5,8,4,12.25,10.8,1.4,1.74,Graduate,1,0.8,0.8,-0.25,10,8,0,2.436
1,1,9853,1,140.0,19,19,7,7,124.6,1,0,1,0,0,18,7,7,6,11.666666666666666,7,8,6,13.5,16.2,0.3,-0.92,Enrolled,1,0.8571428571428571,0.8571428571428571,1.833333333333334,14,12,0,-0.276
18,4,9556,1,127.0,1,38,4,7,121.8,1,0,1,0,0,20,7,14,7,11.4375,8,9,8,11.425,12.7,3.7,-1.7,Enrolled,1,1.0,1.0,-0.01249999999999929,15,15,0,-6.29
1,4,9500,1,142.0,19,19,1,1,125.5,1,0,1,0,0,18,8,12,7,12.857142857142858,8,12,7,12.857142857142858,12.7,3.7,-1.7,Graduate,1,0.875,0.875,0.0,16,14,0,-6.29
1,4,9670,1,125.0,1,38,4,7,114.9,1,0,1,0,1,19,6,8,6,13.375,6,7,6,12.285714285714286,11.1,0.6,2.02,Graduate,1,1.0,1.0,-1.0892857142857135,12,12,0,1.212
1,1,9500,1,126.0,19,19,3,7,123.9,0,0,1,0,0,19,7,8,6,13.296666666666669,8,9,7,14.114285714285714,11.1,0.6,2.02,Graduate,1,0.8571428571428571,0.875,0.8176190476190452,15,13,0,1.212
1,1,9238,1,151.0,19,38,9,9,157.0,1,1,1,0,1,18,6,8,5,11.6,6,12,4,11.0,7.6,2.6,0.32,Enrolled,1,0.8333333333333334,0.6666666666666666,-0.5999999999999996,12,9,0,0.8320000000000001
17,2,9238,1,115.0,19,38,7,8,116.4,1,0,1,0,0,21,6,9,6,11.375,6,9,6,13.285714285714286,16.2,0.3,-0.92,Graduate,1,1.0,1.0,1.9107142857142865,12,12,0,-0.276
1,1,9085,1,138.0,19,19,3,3,131.0,1,0,1,0,0,18,5,9,5,12.666666666666666,5,7,4,13.0,9.4,-0.8,-3.12,Enrolled,1,1.0,0.8,0.3333333333333339,10,9,0,2.4960000000000004
1,1,9147,1,135.0,19,1,9,9,122.1,1,0,1,0,0,20,5,6,5,12.0,5,6,5,12.333333333333334,16.2,0.3,-0.92,Graduate,1,1.0,1.0,0.3333333333333339,10,10,0,-0.276
17,2,9500,1,127.0,3,3,1,10,118.8,1,0,1,1,0,19,7,9,6,12.933333333333332,7,7,6,13.716666666666669,16.2,0.3,-0.92,Enrolled,1,0.8571428571428571,0.8571428571428571,0.7833333333333368,14,12,0,-0.276
44,1,9003,1,150.0,4,5,4,2,150.0,0,0,1,1,0,21,6,15,5,11.857142857142858,6,17,5,10.571428571428571,16.2,0.3,-0.92,Enrolled,1,0.8333333333333334,0.8333333333333334,-1.2857142857142865,12,10,0,-0.276
51,1,9070,1,125.0,42,3,125,124,130.0,1,0,1,1,0,20,6,7,6,12.833333333333334,6,9,4,13.4,8.9,1.4,3.51,Graduate,1,1.0,0.6666666666666666,0.5666666666666664,12,10,0,4.914
1,1,9147,1,143.0,1,1,4,6,138.8,0,0,0,1,0,18,5,9,3,11.333333333333334,5,8,2,13.5,8.9,1.4,3.51,Enrolled,1,0.6,0.4,2.166666666666666,10,5,0,4.914
18,1,8014,0,138.0,19,1,9,5,134.5,1,0,1,0,0,19,6,6,6,12.666666666666666,6,8,6,14.375,12.4,0.5,1.79,Graduate,1,1.0,1.0,1.708333333333334,12,12,0,0.895
1,1,9991,0,130.0,2,37,3,9,131.4,0,0,1,1,0,34,5,6,5,12.4,5,9,5,13.428571428571429,13.9,-0.3,0.79,Graduate,1,1.0,1.0,1.0285714285714285,10,10,0,-0.237
39,1,33,1,130.0,38,37,9,6,102.5,0,1,0,1,0,37,7,7,0,0.0,7,7,1,10.0,8.9,1.4,3.51,Dropout,0,0.0,0.14285714285714285,10.0,14,1,0,4.914
39,1,9119,1,133.1,34,37,0,0,128.8,1,0,1,1,0,43,5,0,0,0.0,5,0,0,0.0,7.6,2.6,0.32,Dropout,0,0.0,0.0,0.0,10,0,0,0.8320000000000001
43,1,9147,1,140.0,37,37,6,6,122.9,0,0,1,0,0,55,5,10,1,10.0,5,8,2,12.0,16.2,0.3,-0.92,Dropout,0,0.2,0.4,2.0,10,3,0,-0.276
39,1,9991,0,120.0,19,19,9,3,113.9,1,0,1,0,0,39,5,8,5,11.0,5,5,5,11.6,7.6,2.6,0.32,Graduate,1,1.0,1.0,0.5999999999999996,10,10,0,0.8320000000000001
44,1,9130,1,120.0,4,4,3,6,120.0,0,1,0,0,0,20,6,13,3,11.666666666666666,6,11,3,12.0,12.4,0.5,1.79,Dropout,0,0.5,0.5,0.3333333333333339,12,6,0,0.895
1,5,9773,1,126.0,3,3,2,2,121.1,0,1,1,0,0,18,6,6,4,12.75,5,5,0,0.0,12.7,3.7,-1.7,Dropout,0,0.6666666666666666,0.0,-12.75,11,4,0,-6.29
1,2,9147,1,133.0,3,19,2,7,120.4,1,0,1,0,0,22,5,5,5,14.8,5,5,5,15.8,8.9,1.4,3.51,Graduate,1,1.0,1.0,1.0,10,10,0,4.914
1,6,9500,1,103.0,1,3,2,2,100.6,1,0,1,0,0,22,7,9,5,13.928,8,9,7,14.342857142857142,11.1,0.6,2.02,Graduate,1,0.7142857142857143,0.875,0.4148571428571408,15,12,0,1.212
17,1,9773,1,120.0,1,38,5,5,121.4,0,0,0,0,0,20,6,7,4,13.0,6,7,5,13.8,12.4,0.5,1.79,Dropout,0,0.6666666666666666,0.8333333333333334,0.8000000000000007,12,9,0,0.895
39,1,9991,0,133.1,37,37,9,9,109.7,0,0,1,0,0,29,5,0,0,0.0,5,0,0,0.0,16.2,0.3,-0.92,Dropout,0,0.0,0.0,0.0,10,0,0,-0.276
17,1,9991,0,154.0,38,38,4,5,134.1,0,0,1,0,0,24,5,9,2,11.5,5,11,3,14.333333333333334,7.6,2.6,0.32,Enrolled,1,0.4,0.6,2.833333333333334,10,5,0,0.8320000000000001
17,2,9238,1,130.0,19,19,9,9,127.6,1,0,1,0,0,18,6,6,6,11.666666666666666,6,8,5,13.2,11.1,0.6,2.02,Graduate,1,1.0,0.8333333333333334,1.5333333333333332,12,11,0,1.212
17,6,9500,1,132.0,37,19,7,7,132.4,1,0,1,0,1,22,7,8,6,13.516666666666666,8,9,7,13.771428571428572,11.1,0.6,2.02,Graduate,1,0.8571428571428571,0.875,0.2547619047619065,15,13,0,1.212
44,1,8014,0,130.0,1,19,9,9,133.4,0,0,1,0,1,21,6,6,6,11.5,6,7,6,13.285714285714286,12.4,0.5,1.79,Graduate,1,1.0,1.0,1.7857142857142865,12,12,0,0.895
1,1,9238,1,139.0,37,38,9,9,126.1,0,0,1,0,1,19,6,7,5,12.333333333333334,6,7,6,12.833333333333334,12.7,3.7,-1.7,Graduate,1,0.8333333333333334,1.0,0.5,12,11,0,-6.29
39,1,9254,1,130.0,19,38,9,7,113.5,0,0,1,0,1,24,6,6,6,13.666666666666666,6,6,6,14.166666666666666,12.4,0.5,1.79,Graduate,1,1.0,1.0,0.5,12,12,0,0.895
1,1,9500,1,139.0,37,38,6,6,121.3,1,0,1,0,1,19,8,10,6,11.833333333333334,8,10,6,11.833333333333334,9.4,-0.8,-3.12,Enrolled,1,0.75,0.75,0.0,16,12,0,2.4960000000000004
1,1,9773,1,127.0,1,19,7,7,121.8,1,0,1,0,1,20,6,11,4,14.0,6,12,3,11.0,9.4,-0.8,-3.12,Enrolled,1,0.6666666666666666,0.5,-3.0,12,7,0,2.4960000000000004
1,3,9130,1,167.0,37,37,90,90,159.3,0,0,1,0,0,19,5,7,5,14.714285714285714,5,5,5,15.8,7.6,2.6,0.32,Graduate,1,1.0,1.0,1.0857142857142872,10,10,0,0.8320000000000001
39,1,9991,0,130.0,38,38,9,9,120.0,0,0,1,0,0,27,5,12,5,10.6,5,10,5,11.0,9.4,-0.8,-3.12,Dropout,0,1.0,1.0,0.40000000000000036,10,10,0,2.4960000000000004
1,1,9500,1,130.0,1,19,5,5,129.1,1,0,1,0,0,18,7,9,7,13.044444444444444,8,10,8,13.595,15.5,2.8,-4.06,Graduate,1,1.0,1.0,0.5505555555555564,15,15,0,-11.367999999999999
7,1,9254,1,130.0,1,3,4,3,130.0,0,0,1,0,0,39,6,10,0,0.0,6,6,0,0.0,12.4,0.5,1.79,Dropout,0,0.0,0.0,0.0,12,0,0,0.895
39,1,9130,1,129.0,3,3,2,2,155.3,1,0,1,0,0,27,6,9,5,13.0,11,13,10,12.9,12.4,0.5,1.79,Dropout,0,0.8333333333333334,0.9090909090909091,-0.09999999999999964,17,15,0,0.895
17,1,9500,1,141.0,38,38,7,10,139.8,1,0,1,0,0,18,8,8,8,14.935,8,8,8,14.935,9.4,-0.8,-3.12,Graduate,1,1.0,1.0,0.0,16,16,0,2.4960000000000004
1,2,9500,1,125.0,19,19,9,9,114.9,0,0,1,0,0,18,7,8,6,13.133333333333333,8,12,7,12.221428571428572,16.2,0.3,-0.92,Graduate,1,0.8571428571428571,0.875,-0.9119047619047613,15,13,0,-0.276
44,1,9238,1,130.0,19,1,9,9,131.9,0,0,1,0,1,21,6,7,6,12.0,6,7,6,12.0,13.9,-0.3,0.79,Graduate,1,1.0,1.0,0.0,12,12,0,-0.237
17,1,9070,1,127.0,1,1,3,4,130.2,1,0,1,1,0,19,6,6,5,11.4,6,8,1,10.0,10.8,1.4,1.74,Enrolled,1,0.8333333333333334,0.16666666666666666,-1.4000000000000004,12,6,0,2.436
43,1,9070,1,116.0,1,1,3,3,120.9,0,0,1,1,0,24,6,6,0,0.0,6,6,0,0.0,12.7,3.7,-1.7,Enrolled,1,0.0,0.0,0.0,12,0,0,-6.29
42,1,9500,1,133.1,1,1,5,5,126.0,1,0,1,1,0,29,7,10,5,11.9,8,10,5,11.0,13.9,-0.3,0.79,Dropout,0,0.7142857142857143,0.625,-0.9000000000000004,15,10,0,-0.237
44,1,9003,1,130.0,19,37,9,9,130.0,1,0,1,1,0,23,6,8,6,12.571428571428571,6,7,6,12.428571428571429,8.9,1.4,3.51,Graduate,1,1.0,1.0,-0.14285714285714235,12,12,0,4.914
1,3,9147,1,125.0,1,38,7,7,120.1,0,1,1,1,0,19,5,8,5,11.2,5,10,4,10.75,16.2,0.3,-0.92,Dropout,0,1.0,0.8,-0.4499999999999993,10,9,0,-0.276
39,1,9254,1,160.0,19,37,7,10,100.0,0,0,1,1,0,26,6,7,6,12.0,6,8,5,10.8,12.7,3.7,-1.7,Enrolled,1,1.0,0.8333333333333334,-1.1999999999999993,12,11,0,-6.29
17,1,9147,1,148.0,38,37,5,5,134.0,0,0,1,1,0,18,5,9,0,0.0,5,5,0,0.0,7.6,2.6,0.32,Enrolled,1,0.0,0.0,0.0,10,0,0,0.8320000000000001
17,1,9500,1,150.0,37,19,8,4,130.8,0,0,1,1,0,24,7,8,7,11.975,8,8,8,13.75,13.9,-0.3,0.79,Graduate,1,1.0,1.0,1.7750000000000004,15,15,0,-0.237
17,4,9254,1,118.0,38,37,5,7,111.7,1,0,1,1,0,18,6,12,3,11.666666666666666,6,12,1,12.0,12.4,0.5,1.79,Dropout,0,0.5,0.16666666666666666,0.3333333333333339,12,4,0,0.895
1,2,9773,1,142.0,38,38,9,9,132.9,1,0,1,1,0,18,6,8,6,12.333333333333334,6,11,3,12.333333333333334,10.8,1.4,1.74,Graduate,1,1.0,0.5,0.0,12,9,0,2.436
17,3,9147,1,120.0,19,19,4,7,115.5,1,1,1,1,0,18,5,8,3,10.333333333333334,5,11,3,10.857142857142858,10.8,1.4,1.74,Dropout,0,0.6,0.6,0.5238095238095237,10,6,0,2.436
18,4,9254,1,106.0,19,37,7,7,106.0,1,0,1,1,1,21,6,8,4,10.5,6,11,1,11.0,9.4,-0.8,-3.12,Dropout,0,0.6666666666666666,0.16666666666666666,0.5,12,5,0,2.4960000000000004
17,4,9773,1,121.0,1,19,9,8,120.3,1,1,1,1,1,19,6,6,6,13.666666666666666,6,6,6,13.333333333333334,8.9,1.4,3.51,Graduate,1,1.0,1.0,-0.33333333333333215,12,12,0,4.914
17,4,9500,1,150.0,38,37,9,9,130.8,0,0,1,1,1,22,7,7,7,14.842857142857142,8,9,8,15.055555555555555,16.2,0.3,-0.92,Graduate,1,1.0,1.0,0.21269841269841372,15,15,0,-0.276
39,1,8014,0,120.0,37,37,9,6,117.0,0,0,1,1,0,33,6,8,6,12.0,6,6,6,11.666666666666666,10.8,1.4,1.74,Graduate,1,1.0,1.0,-0.3333333333333339,12,12,0,2.436
1,6,9853,1,114.0,19,19,9,9,110.2,1,0,1,1,0,20,6,8,5,12.2,6,7,5,12.2,10.8,1.4,1.74,Dropout,0,0.8333333333333334,0.8333333333333334,0.0,12,10,0,2.436
39,1,9991,0,140.0,3,3,2,2,155.7,1,0,1,1,0,35,1,1,0,0.0,5,0,0,0.0,10.8,1.4,1.74,Dropout,0,0.0,0.0,0.0,6,0,0,2.436
39,1,9003,1,160.0,3,3,4,2,180.4,0,1,1,1,0,24,12,17,6,12.166666666666666,12,14,10,13.3,12.4,0.5,1.79,Dropout,0,0.5,0.8333333333333334,1.1333333333333346,24,16,0,0.895
17,1,9254,1,120.0,19,19,4,4,125.5,0,0,1,1,0,18,5,6,5,12.0,5,8,3,11.333333333333334,12.7,3.7,-1.7,Enrolled,1,1.0,0.6,-0.6666666666666661,10,8,0,-6.29
39,1,8014,0,130.0,37,37,9,6,110.0,1,0,1,0,0,33,6,7,6,11.0,6,11,5,11.0,9.4,-0.8,-3.12,Graduate,1,1.0,0.8333333333333334,0.0,12,11,0,2.4960000000000004
42,1,9500,1,160.0,37,38,9,7,161.0,1,0,1,0,1,22,8,8,7,13.08,8,8,7,13.08,10.8,1.4,1.74,Graduate,1,0.875,0.875,0.0,16,14,0,2.436
39,1,9670,1,120.0,1,19,4,5,100.0,0,0,1,0,1,25,5,7,4,10.5,5,7,5,11.6,9.4,-0.8,-3.12,Graduate,1,0.8,1.0,1.0999999999999996,10,9,0,2.4960000000000004
17,1,9070,1,124.0,19,38,4,0,117.6,1,0,1,1,0,20,6,9,6,10.666666666666666,6,6,5,11.2,7.6,2.6,0.32,Graduate,1,1.0,0.8333333333333334,0.5333333333333332,12,11,0,0.8320000000000001
1,6,9147,1,143.0,38,37,9,9,128.7,1,0,1,1,0,23,5,6,4,14.0,5,5,5,13.8,11.1,0.6,2.02,Enrolled,1,0.8,1.0,-0.1999999999999993,10,9,0,1.212
43,2,9119,1,115.0,38,19,9,6,112.2,1,1,1,1,0,18,5,9,2,10.0,5,9,0,0.0,15.5,2.8,-4.06,Enrolled,1,0.4,0.0,-10.0,10,2,0,-11.367999999999999
39,1,9500,1,133.1,1,1,4,10,100.8,0,0,1,1,0,24,7,18,0,0.0,7,7,0,0.0,13.9,-0.3,0.79,Dropout,0,0.0,0.0,0.0,14,0,0,-0.237
17,2,9773,1,133.1,19,1,9,9,105.0,1,0,0,0,0,21,6,6,6,14.0,6,6,6,13.5,8.9,1.4,3.51,Graduate,1,1.0,1.0,-0.5,12,12,0,4.914
15,1,9130,1,133.1,1,1,4,4,100.0,0,0,1,0,0,26,6,7,2,12.0,6,6,0,0.0,8.9,1.4,3.51,Dropout,0,0.3333333333333333,0.0,-12.0,12,2,0,4.914
39,1,9853,1,133.1,37,34,0,0,115.5,0,0,1,0,0,39,6,12,3,12.666666666666666,6,14,0,0.0,7.6,2.6,0.32,Dropout,0,0.5,0.0,-12.666666666666666,12,3,0,0.8320000000000001
39,1,8014,0,133.1,37,19,9,9,114.0,0,0,1,0,0,44,8,11,8,11.875,6,7,6,12.333333333333334,12.7,3.7,-1.7,Graduate,1,1.0,1.0,0.4583333333333339,14,14,0,-6.29
15,1,9119,1,130.0,38,3,9,2,137.0,1,0,1,1,0,19,5,9,5,14.0,5,11,3,13.25,13.9,-0.3,0.79,Enrolled,1,1.0,0.6,-0.75,10,8,0,-0.237
1,5,9773,1,135.0,37,1,5,5,124.9,1,0,1,0,0,18,6,6,6,13.666666666666666,6,6,6,13.333333333333334,8.9,1.4,3.51,Graduate,1,1.0,1.0,-0.33333333333333215,12,12,0,4.914
1,5,9500,1,132.0,37,37,7,7,120.3,1,0,1,0,1,18,7,7,7,13.75,8,9,8,14.47777777777778,12.4,0.5,1.79,Graduate,1,1.0,1.0,0.7277777777777796,15,15,0,0.895
1,1,9085,1,135.0,1,2,9,1,134.3,1,0,1,0,0,19,5,7,5,14.2,5,7,5,13.8,12.7,3.7,-1.7,Enrolled,1,1.0,1.0,-0.3999999999999986,10,10,0,-6.29
1,4,9500,1,115.0,3,3,2,2,111.5,1,1,0,0,0,19,7,10,4,11.96,7,7,0,0.0,13.9,-0.3,0.79,Dropout,0,0.5714285714285714,0.0,-11.96,14,4,0,-0.237
53,1,9085,1,130.0,38,38,9,9,128.8,0,0,1,0,0,21,10,12,8,12.875,9,14,5,13.4,8.9,1.4,3.51,Dropout,0,0.8,0.5555555555555556,0.5250000000000004,19,13,0,4.914
39,1,8014,0,130.0,37,37,6,5,113.5,1,0,1,0,0,36,6,0,0,0.0,6,0,0,0.0,9.4,-0.8,-3.12,Dropout,0,0.0,0.0,0.0,12,0,0,2.4960000000000004
39,1,9003,1,133.1,37,37,9,6,160.0,0,0,1,0,0,43,18,19,18,14.63157894736842,13,14,13,14.23076923076923,15.5,2.8,-4.06,Graduate,1,1.0,1.0,-0.4008097165991895,31,31,0,-11.367999999999999
18,1,9853,1,123.0,19,19,9,7,117.4,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,11.1,0.6,2.02,Dropout,0,0.0,0.0,0.0,12,0,0,1.212
51,1,9070,1,130.0,3,1,2,8,122.2,0,1,1,0,0,20,10,12,10,13.0,11,11,11,12.272727272727272,11.1,0.6,2.02,Graduate,1,1.0,1.0,-0.7272727272727284,21,21,0,1.212
1,2,9238,1,122.0,37,38,4,7,118.2,1,0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,16.2,0.3,-0.92,Dropout,0,0.0,0.0,0.0,12,0,0,-0.276
1,1,9085,1,113.0,1,1,4,4,106.7,1,0,1,0,0,20,6,15,4,14.2,6,17,4,13.25,15.5,2.8,-4.06,Dropout,0,0.6666666666666666,0.6666666666666666,-0.9499999999999993,12,8,0,-11.367999999999999
1,5,9500,1,111.0,3,4,4,3,108.2,1,0,1,0,0,20,7,9,6,13.266666666666666,7,10,5,12.3,12.4,0.5,1.79,Dropout,0,0.8571428571428571,0.7142857142857143,-0.966666666666665,14,11,0,0.895
17,2,9853,1,133.1,19,1,9,3,107.0,1,0,1,0,0,20,7,12,6,11.666666666666666,7,10,3,13.0,16.2,0.3,-0.92,Enrolled,1,0.8571428571428571,0.42857142857142855,1.333333333333334,14,9,0,-0.276
1,1,9238,1,142.0,37,37,6,7,136.1,1,0,1,0,0,18,6,8,6,13.857142857142858,6,6,6,15.0,13.9,-0.3,0.79,Graduate,1,1.0,1.0,1.1428571428571423,12,12,0,-0.237
17,2,9147,1,123.0,1,38,4,7,115.3,1,0,1,0,1,18,5,9,3,13.0,5,11,3,11.0,8.9,1.4,3.51,Enrolled,1,0.6,0.6,-2.0,10,6,0,4.914
1,1,9085,1,131.0,19,19,9,9,139.8,1,0,1,0,0,19,5,6,5,13.4,5,5,5,12.8,10.8,1.4,1.74,Graduate,1,1.0,1.0,-0.5999999999999996,10,10,0,2.436
1,3,9773,1,158.0,1,38,4,7,157.0,1,0,1,0,0,18,6,6,6,12.666666666666666,6,7,6,12.571428571428571,10.8,1.4,1.74,Graduate,1,1.0,1.0,-0.0952380952380949,12,12,0,2.436
17,2,9500,1,122.0,37,37,9,9,131.0,1,0,1,0,0,18,7,7,6,12.516666666666666,7,7,6,12.516666666666666,7.6,2.6,0.32,Dropout,0,0.8571428571428571,0.8571428571428571,0.0,14,12,0,0.8320000000000001
43,1,9500,1,130.0,38,38,9,5,100.0,0,0,1,0,0,20,7,11,6,11.616666666666667,7,7,7,13.0,13.9,-0.3,0.79,Enrolled,1,0.8571428571428571,1.0,1.3833333333333329,14,13,0,-0.237
17,1,9238,1,154.0,19,37,9,7,140.4,1,0,1,0,1,20,6,13,2,10.0,6,12,4,10.75,7.6,2.6,0.32,Enrolled,1,0.3333333333333333,0.6666666666666666,0.75,12,6,0,0.8320000000000001
17,1,9147,1,120.0,19,19,3,3,113.4,0,0,1,0,0,20,5,11,3,10.333333333333334,5,10,3,10.666666666666666,12.4,0.5,1.79,Enrolled,1,0.6,0.6,0.33333333333333215,10,6,0,0.895
1,2,9085,1,140.0,37,38,9,7,137.0,0,0,1,0,0,18,5,12,5,13.142857142857142,5,6,5,11.4,9.4,-0.8,-3.12,Graduate,1,1.0,1.0,-1.742857142857142,10,10,0,2.4960000000000004
1,1,9147,1,127.0,2,19,4,5,121.8,0,0,1,0,0,18,5,5,5,12.6,5,5,5,14.0,11.1,0.6,2.02,Graduate,1,1.0,1.0,1.4000000000000004,10,10,0,1.212
17,1,9254,1,133.1,1,1,4,5,131.0,1,0,1,0,0,21,6,12,3,11.0,6,12,2,11.0,9.4,-0.8,-3.12,Dropout,0,0.5,0.3333333333333333,0.0,12,5,0,2.4960000000000004
1,2,9147,1,120.0,19,19,9,7,118.6,1,0,1,0,0,19,5,8,5,10.8,5,9,4,11.25,16.2,0.3,-0.92,Graduate,1,1.0,0.8,0.4499999999999993,10,9,0,-0.276
1,1,9670,1,131.0,38,38,9,9,127.9,0,0,1,0,1,19,5,5,5,12.8,5,5,5,14.2,9.4,-0.8,-3.12,Graduate,1,1.0,1.0,1.3999999999999986,10,10,0,2.4960000000000004
1,1,9085,1,130.0,19,38,4,7,121.3,1,0,1,0,0,19,6,15,6,14.166666666666666,6,13,6,12.2,15.5,2.8,-4.06,Graduate,1,1.0,1.0,-1.9666666666666668,12,12,0,-11.367999999999999
17,6,9556,1,122.0,1,1,4,5,117.1,1,0,1,0,0,19,7,12,5,12.1,7,0,0,0.0,13.9,-0.3,0.79,Dropout,0,0.7142857142857143,0.0,-12.1,14,5,0,-0.237
44,1,9085,1,160.0,37,37,9,9,160.0,1,0,1,0,0,20,6,7,6,14.166666666666666,6,17,5,13.77777777777778,12.4,0.5,1.79,Graduate,1,1.0,0.8333333333333334,-0.38888888888888573,12,11,0,0.895
1,1,9853,1,146.0,19,38,9,3,145.3,1,0,1,0,1,18,6,8,5,12.8,6,7,5,13.4,9.4,-0.8,-3.12,Enrolled,1,0.8333333333333334,0.8333333333333334,0.5999999999999996,12,10,0,2.4960000000000004
17,3,9238,1,131.0,1,39,5,3,122.6,1,0,1,0,0,18,6,7,6,13.0,6,6,6,13.666666666666666,12.4,0.5,1.79,Graduate,1,1.0,1.0,0.6666666666666661,12,12,0,0.895
